year,annual_total,mean_daily,wet_days,heavy_rain_days,max_daily,obs
2000,1315.1948,3.5934,103,3,158.4667,366
2001,342.9058,0.9395,83,0,31.4498,365
2002,276.8737,0.7586,66,0,27.9596,365
2003,310.3484,0.8503,66,0,24.1005,365
2004,1288.9473,3.5217,85,4,135.9027,366
2005,1813.3752,4.9682,83,6,222.5457,365
2006,1615.2076,4.4252,94,8,134.8406,365
2007,1257.5602,3.4454,70,4,161.6457,365
2008,1885.7679,5.1524,114,7,215.6899,366
2009,1772.1716,4.8553,78,7,175.8515,365
2010,1508.5121,4.1329,103,3,198.2953,365
2011,1467.5611,4.0207,221,0,48.904,365
2012,1330.0411,3.634,212,1,64.8425,366
2013,1067.9304,2.9258,75,2,68.4524,365
2014,1574.8501,4.3147,91,5,100.9266,365
2015,2068.8045,5.668,106,7,327.302,365
2016,554.0892,1.5139,74,0,51.0335,366
2017,1813.7062,4.9691,94,6,212.7603,365
2018,1163.9722,3.189,79,1,78.9067,365
2019,1227.1261,3.362,94,1,120.1524,365
2020,1646.3344,4.4982,92,5,279.5865,366
2021,2386.6051,6.5386,127,7,222.7673,365
2022,1554.1656,4.258,128,4,229.878,365
2023,1340.4816,3.6726,114,4,108.5072,365
2024,1418.5527,3.8758,109,4,138.3764,366
