rank,timestamp,rainfall_1d,rainfall_3d,rainfall_7d,year,month
1,2015-11-10,327.302,466.4196,525.8784,2015,11
2,2020-12-04,279.5865,340.907,350.7345,2020,12
3,2022-11-12,229.878,303.6734,396.6525,2022,11
4,2021-01-13,222.7673,314.3066,381.5909,2021,1
5,2005-11-08,222.5457,367.7541,462.4524,2005,11
6,2008-11-26,215.6899,378.0172,477.7165,2008,11
7,2017-10-31,212.7603,232.9536,253.7627,2017,10
8,2008-11-28,209.421,536.7063,772.8881,2008,11
9,2005-11-22,208.2123,222.6425,222.6425,2005,11
10,2010-11-27,198.2953,239.2575,291.4829,2010,11
11,2009-11-08,175.8515,280.7896,439.8459,2009,11
12,2007-10-25,161.6457,307.3969,344.1509,2007,10
13,2000-02-26,158.4667,188.8235,210.3174,2000,2
14,2020-11-26,151.312,166.1139,166.1139,2020,11
15,2010-12-01,148.5268,173.5172,421.7893,2010,12
16,2024-01-08,138.3764,166.3349,176.7024,2024,1
17,2004-10-29,135.9027,153.2605,235.0166,2004,10
18,2006-10-27,134.8406,243.6441,380.7363,2006,10
19,2022-11-03,134.2889,168.9798,195.0281,2022,11
20,2000-12-29,132.9649,191.6208,191.6208,2000,12
