timestamp,total,mean_daily,p90,p95,median,wet_days,obs,wet_day_freq
1,1430.0811,1.8453,0.7322,6.9969,0.0,98,775,0.1265
2,638.7231,0.9034,0.0,1.046,0.0,44,707,0.0622
3,549.1953,0.7086,0.0,2.1734,0.0,59,775,0.0761
4,552.7158,0.737,0.6884,3.6704,0.0,91,750,0.1213
5,1207.6868,1.5583,2.4601,9.8166,0.0,151,775,0.1948
6,1331.2823,1.775,4.5285,12.8213,0.0,182,750,0.2427
7,1493.8995,1.9276,6.1553,12.2199,0.0,246,775,0.3174
8,2845.2225,3.6713,11.1573,22.0896,0.0,323,775,0.4168
9,2182.6626,2.9102,9.3695,16.6409,0.0,269,750,0.3587
10,5590.684,7.2138,20.0374,33.1065,0.0,378,775,0.4877
11,11129.5849,14.8394,43.4675,65.4213,1.6014,460,750,0.6133
12,5049.3466,6.5153,18.0179,40.2636,0.0,260,775,0.3355
