# S1 DEM window: AWS Terrain Tiles Terrarium z15 (SRTM-derived mirror, NOT USGS tile)
# tiles: z15/24447/13793,z15/24448/13793,z15/24449/13793,z15/24447/13794,z15/24448/13794,z15/24449/13794,z15/24447/13795,z15/24448/13795,z15/24449/13795
# decode: elev = R*256 + G + B/256 - 32768 | pixel_m=4.243 | s1_mosaic_px=402,446
i,j,lat,lon,elev_m
0,0,27.346230,88.598642,1208.85
1,0,27.346230,88.598685,1211.56
2,0,27.346230,88.598728,1214.30
3,0,27.346230,88.598771,1216.92
4,0,27.346230,88.598814,1219.28
5,0,27.346230,88.598857,1221.36
6,0,27.346230,88.598900,1223.24
7,0,27.346230,88.598943,1225.01
8,0,27.346230,88.598986,1226.74
9,0,27.346230,88.599029,1228.48
10,0,27.346230,88.599072,1230.25
11,0,27.346230,88.599114,1232.05
12,0,27.346230,88.599157,1233.89
13,0,27.346230,88.599200,1235.80
14,0,27.346230,88.599243,1237.82
15,0,27.346230,88.599286,1239.98
16,0,27.346230,88.599329,1242.31
17,0,27.346230,88.599372,1244.81
18,0,27.346230,88.599415,1247.42
19,0,27.346230,88.599458,1250.09
20,0,27.346230,88.599501,1252.74
21,0,27.346230,88.599544,1255.35
22,0,27.346230,88.599586,1257.91
23,0,27.346230,88.599629,1260.41
24,0,27.346230,88.599672,1262.82
25,0,27.346230,88.599715,1265.15
26,0,27.346230,88.599758,1267.39
27,0,27.346230,88.599801,1269.55
28,0,27.346230,88.599844,1271.62
29,0,27.346230,88.599887,1273.61
30,0,27.346230,88.599930,1275.55
31,0,27.346230,88.599973,1277.47
32,0,27.346230,88.600016,1279.39
33,0,27.346230,88.600059,1281.29
34,0,27.346230,88.600101,1283.10
35,0,27.346230,88.600144,1284.72
36,0,27.346230,88.600187,1286.07
37,0,27.346230,88.600230,1287.16
38,0,27.346230,88.600273,1288.06
39,0,27.346230,88.600316,1288.84
40,0,27.346230,88.600359,1289.60
41,0,27.346230,88.600402,1290.39
42,0,27.346230,88.600445,1291.29
43,0,27.346230,88.600488,1292.34
44,0,27.346230,88.600531,1293.61
45,0,27.346230,88.600574,1295.13
46,0,27.346230,88.600616,1296.88
47,0,27.346230,88.600659,1298.85
48,0,27.346230,88.600702,1301.04
49,0,27.346230,88.600745,1303.46
50,0,27.346230,88.600788,1306.17
51,0,27.346230,88.600831,1309.23
52,0,27.346230,88.600874,1312.68
53,0,27.346230,88.600917,1316.51
54,0,27.346230,88.600960,1320.57
55,0,27.346230,88.601003,1324.75
56,0,27.346230,88.601046,1328.90
57,0,27.346230,88.601089,1332.92
58,0,27.346230,88.601131,1336.75
59,0,27.346230,88.601174,1340.31
60,0,27.346230,88.601217,1343.54
61,0,27.346230,88.601260,1346.42
62,0,27.346230,88.601303,1348.98
63,0,27.346230,88.601346,1351.24
0,1,27.346192,88.598642,1209.91
1,1,27.346192,88.598685,1212.40
2,1,27.346192,88.598728,1214.90
3,1,27.346192,88.598771,1217.30
4,1,27.346192,88.598814,1219.46
5,1,27.346192,88.598857,1221.37
6,1,27.346192,88.598900,1223.12
7,1,27.346192,88.598943,1224.79
8,1,27.346192,88.598986,1226.50
9,1,27.346192,88.599029,1228.26
10,1,27.346192,88.599072,1230.09
11,1,27.346192,88.599114,1231.99
12,1,27.346192,88.599157,1233.94
13,1,27.346192,88.599200,1235.96
14,1,27.346192,88.599243,1238.10
15,1,27.346192,88.599286,1240.39
16,1,27.346192,88.599329,1242.86
17,1,27.346192,88.599372,1245.52
18,1,27.346192,88.599415,1248.29
19,1,27.346192,88.599458,1251.12
20,1,27.346192,88.599501,1253.96
21,1,27.346192,88.599544,1256.75
22,1,27.346192,88.599586,1259.47
23,1,27.346192,88.599629,1262.09
24,1,27.346192,88.599672,1264.57
25,1,27.346192,88.599715,1266.91
26,1,27.346192,88.599758,1269.11
27,1,27.346192,88.599801,1271.18
28,1,27.346192,88.599844,1273.12
29,1,27.346192,88.599887,1274.96
30,1,27.346192,88.599930,1276.77
31,1,27.346192,88.599973,1278.59
32,1,27.346192,88.600016,1280.48
33,1,27.346192,88.600059,1282.41
34,1,27.346192,88.600101,1284.27
35,1,27.346192,88.600144,1285.92
36,1,27.346192,88.600187,1287.24
37,1,27.346192,88.600230,1288.21
38,1,27.346192,88.600273,1288.95
39,1,27.346192,88.600316,1289.55
40,1,27.346192,88.600359,1290.14
41,1,27.346192,88.600402,1290.80
42,1,27.346192,88.600445,1291.60
43,1,27.346192,88.600488,1292.58
44,1,27.346192,88.600531,1293.80
45,1,27.346192,88.600574,1295.29
