slide_no,district,lat,lon,year,exact_date,source,precision_status
NEWS-DARJ-20150701,Darjeeling,27.05,88.43,2015,2015-07-01,TOI/IndianExpress/IANS Jul 1-2 2015,EXACT_MULTI_SOURCE
NEWS-NH10-20150709,Darjeeling,27.02,88.42,2015,2015-07-09,IANS via NRIpress Jul 9 2015,EXACT_VERIFIED
NEWS-NH10-20211020,East Sikkim/WB,27.17,88.51,2021,2021-10-20,EastMojo/TOI/ET Oct 19-20 2021,EXACT_MULTI_SOURCE
NEWS-MANGAN-20240613,Mangan,27.51,88.53,2024,2024-06-13,Reuters/IE/HT Jun 13-14 2024,EXACT_MULTI_SOURCE
NEWS-DIPUDARA-20240820,Gangtok,27.2525,88.4606,2024,2024-08-20,Sikkim Govt PR/Sikkim NOW Aug 20 2024,EXACT_MULTI_SOURCE
NEWS-DIPUDARA-20240821,Gangtok,27.2525,88.4606,2024,2024-08-21,Sikkim Govt PR Aug 2024,EXACT_VERIFIED
NEWS-NH10-20221009,Kalimpong/East Sikkim,27.13,88.51,2022,2022-10-09,ET/IndiaTodayNE Oct 9-12 2022,EXACT_MULTI_SOURCE
NEWS-PUBUNG-20190708,Darjeeling,27.0044,88.2165,2019,2019-07-08,TOI Jul 8 2019 (couple killed),EXACT_VERIFIED
NEWS-RONGEY-20220628,Gangtok,27.3,88.65,2022,2022-06-28,"Hindustan Times Jun 28 2022 (Doma Sherpa + 2 children, Rongey Dokan Dara)",EXACT_MULTI_SOURCE
NEWS-YUMTHANG-20220831,Mangan,27.7,88.68,2022,2022-08-31,"Northeast Live Sep 1 2022 (Aug 31 4pm, 8 vehicles, Yumthang valley)",EXACT_MULTI_SOURCE
NEWS-20MILE-20220901,Gangtok/Pakyong,27.17,88.51,2022,2022-09-01,"India.com Sep 1 2022 (20 Mile NH20, Gangtok cut off, 2nd time that week)",EXACT_MULTI_SOURCE
NEWS-17MILE-20220615,Gangtok,27.28,88.62,2022,2022-06-15,"Telegraph/PTI Jun 16 2022 (Army Black Cat rescue, 8 buried, 1 died, 17th Mile E.Sikkim)",EXACT_VERIFIED
NEWS-BIRIKDARA-20220802,Pakyong/Kalimpong border,27.1,88.48,2022,2022-08-02,"Northeast Live Aug 2 2022 (NH10 Birik Dara, state cut off)",EXACT_VERIFIED
NEWS-29MILE-20210906,Kalimpong,27.05,88.43,2021,2021-09-06,"Business Standard Sep 6 2021 (70m debris, 29 Mile, NH10 cut, 4th blockage of monsoon)",EXACT_MULTI_SOURCE
NEWS-PATHING-20221124,Namchi,27.2955,88.3924,2022,2022-11-24,"PTI/ThePrint Nov 24 2022 (60 families rescued, relief camp, Pathing S.Sikkim)",EXACT_MULTI_SOURCE
NEWS-29MILE-20210711,Kalimpong,27.05,88.43,2021,2021-07-11,"HT Jul 11 + NDTV Jul 11 + ET/PTI Jul 11 (29th Mile Teesta-Rambi, NH10 fully blocked)",EXACT_MULTI_SOURCE
NEWS-29MILE-20200923,Kalimpong,27.05,88.43,2020,2020-09-23,"Morung Express/PTI Sep 23 2020 (major slide, 29 Mile WB, Sikkim cut off)",EXACT_VERIFIED
NEWS-LINGCHOM-20200524,Mangan,27.38,88.55,2020,2020-05-24,"sikkim.gov.in IPR May 24 (SDM Kabi: Phu Phu Sherpa 50 dead, 2 injured, 3 houses, evacuations)",EXACT_MULTI_SOURCE
