SLIDE_NO,SLIDE_NAME,DISTRICT,LONGITUDE,LATITUDE,INITIATION,TRIGGERING,ACTIVITY,MATERIAL_T,GEOLOGY
WB/DAR/78A08/2015/75,"Simgbong Division Road, Glenbern T.E.",Darjeeling,88.333186999999995,27.080127000000001,2007,Rainfall,Active,Rock,Slopewash
WB/DARJ/78A08/2007/0333,,Darjeeling,88.334999999999994,27.079999999999998,2007,,Active,Rock,Overburden (~2m) and weathered rock
WB/DAR/78A08/2015/1461,,Darjeeling,88.312827999999996,27.061813000000001,2014,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/42,Around 8km. West of Darjeeling town (near to Lebong),Darjeeling,88.287000000000006,27.048999999999999,2006,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/1462,,Darjeeling,88.298918000000000,27.062723999999999,2014,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/1467,,Darjeeling,88.293073000000007,27.065465000000000,2010,Rainfall,Active,Rock cum Debris,Compacted debris
WB/DAR/78A08/2015/1314,,Darjeeling,88.291278000000005,27.082528000000000,2015,Rainfall,Suspended,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/1315,,Darjeeling,88.308306000000002,27.092389000000001,2014,Rainfall,Active,Debris,Quartzite
WB/DAR/78A08/2015/1513,,Darjeeling,88.332964000000004,27.080022000000000,2015,Rainfall,Active,Debris,Compacted debris
WB/DAR/78A04/2015/1228,,Darjeeling,88.192499999999995,27.089193999999999,2015,Rainfall,Reactivated,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1227,,Darjeeling,88.184749999999994,27.082556000000000,2015,Rainfall,Reactivated,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1226,,Darjeeling,88.180582999999999,27.079249999999998,2014,Rainfall,Active,Debris,Compacted debris
WB/DAR/78A04/2015/1230,,Darjeeling,88.173249999999996,27.097306000000000,2015,Rainfall,Reactivated,Rock cum Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1212,,Darjeeling,88.166222000000005,27.095555999999998,2014,Rainfall,Active,Debris,Compacted debris
WB/DAR/78A04/2015/1211,,Darjeeling,88.164556000000005,27.088806000000002,2014,Rainfall,Reactivated,Debris,Schist
WB/DAR/78A04/2015/1208,,Darjeeling,88.150861000000006,27.025832999999999,2015,Rainfall,Dormant,Rock cum Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1225,,Darjeeling,88.154916999999998,27.036722000000001,2014,Rainfall,Reactivated,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1202,,Darjeeling,88.169944000000001,27.049778000000000,2016,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1203,,Darjeeling,88.157083000000000,27.041305999999999,2014,Rainfall,Reactivated,Rock cum Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1224,,Darjeeling,88.155777999999998,27.037917000000000,2016,Rainfall,Dormant,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1223,,Darjeeling,88.156417000000005,27.040389000000001,2016,Rainfall,Reactivated,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1204,,Darjeeling,88.153361000000004,27.039389000000000,2015,Rainfall,Dormant,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1205,,Darjeeling,88.150610999999998,27.039750000000002,2014,Rainfall,Dormant,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1219,,Darjeeling,88.155417000000000,27.062750000000001,2014,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1220,,Darjeeling,88.161861000000002,27.066666999999999,2014,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1231,,Darjeeling,88.166139000000001,27.072527999999998,2016,Rainfall,Active,Debris,Slopewash
WB/DAR/78A04/2015/1201,,Darjeeling,88.172055999999998,27.051250000000000,2016,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1210,,Darjeeling,88.186333000000005,27.070889000000001,2016,Rainfall,Reactivated,Rock cum Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1218,,Darjeeling,88.189483999999993,27.067001999999999,2014,Rainfall,Dormant,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DARJ/78A04/0258,,Darjeeling,88.194000000000003,27.027999999999999,0,Earthquake,Active,Debris,
WB/DAR/78A04/2015/22,"Darjeeling-Bijanbari Road, Kali Tea Garden 3",Darjeeling,88.193799999999996,27.027600000000000,2011,Rainfall,Active,Debris,HIGH GRADES SCHIST
WB/DAR/78A04/2015/1245,,Darjeeling,88.202083000000002,27.028721999999998,2016,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1242,,Darjeeling,88.197333000000000,27.036083000000001,2015,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1243,,Darjeeling,88.197444000000004,27.034749999999999,2015,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1244,,Darjeeling,88.196693999999994,27.031222000000000,2015,Rainfall,Dormant,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/23,"Darjeeling-Bijanbari Road, Maribong Tea Garden",Darjeeling,88.196799999999996,27.039400000000001,2011,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DARJ/78A04/0259,,Darjeeling,88.197000000000003,27.039000000000001,0,Earthquake,Active,Debris,
WB/DARJ/78A04/0260,,Darjeeling,88.198999999999998,27.042999999999999,0,Earthquake,,Debris,
WB/DAR/78A04/2015/24,"Darjeeling-Bijanbari Road, Maribong Tea Garden Factory",Darjeeling,88.198499999999996,27.042700000000000,2011,Rainfall,Suspended,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1237,,Darjeeling,88.206249999999997,27.047778000000001,2016,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1248,,Darjeeling,88.211360999999997,27.044056000000001,2016,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1249,,Darjeeling,88.212971999999993,27.046972000000000,2016,Rainfall,Active,Rock cum Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1246,,Darjeeling,88.206806000000000,27.024889000000002,2015,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1236,,Darjeeling,88.222416999999993,27.034082999999999,2016,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/18,Darjeeling-Bijanbari Road_Barbatia village,Darjeeling,88.239999999999995,27.024999999999999,2009,Rainfall,Active,Debris,Colluvium
WB/DDARJ/78A04/2009/0241,,Darjeeling,88.239999999999995,27.024999999999999,0,Cyclone Aila,Active,Debris,Big boulders of gneissic rock embedded in fine grained pale greyish brown silty to sandy soil
WB/DAR/78A04/2015/1235,,Darjeeling,88.238444000000001,27.027083000000001,2016,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/19,"Darjeeling-Bijanbari Road, Ganga Maiya Park",Darjeeling,88.230000000000004,27.035000000000000,2009,Rainfall,Active,Debris,Colluvium
WB/DARJ/78A04/2009/0242,,Darjeeling,88.230000000000004,27.035000000000000,0,Cyclone Aila,Active,Debris,Heterogeneous mixture of coarse sandy soil with rock fragments of different shape and size
WB/DAR/78A04/2015/1503,PYRENI JHORA SUBSIDENCE,Darjeeling,88.229949000000005,27.035038000000000,2015,Earthquake,Active,Debris,Compacted debris
WB/DAR/78A04/2015/1250,,Darjeeling,88.218833000000004,27.049527999999999,2014,Rainfall,Dormant,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1469,,Darjeeling,88.239635000000007,27.066264000000000,2014,Rainfall,Active,Debris,Compacted debris
WB/DARJ/78A04/2007/0240,,Darjeeling,88.207999999999998,27.050000000000001,0,Rainfall,Active,Debris,
WB/DAR/78A04/2015/17,Lizahill Tea Garden,Darjeeling,88.208179999999999,27.049990000000001,2007,Rainfall,Active,Debris,Slopewash
WB/DAR/78A04/2015/1238,,Darjeeling,88.206528000000006,27.055721999999999,2015,Rainfall,Dormant,Rock cum Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1197,,Darjeeling,88.202693999999994,27.051722000000002,2015,Rainfall,Reactivated,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/13,Darjeeling-Bijanbari Road_Chongtong Tea Garden,Darjeeling,88.201744000000005,27.054997000000000,2006,Rainfall,Reactivated,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1198,,Darjeeling,88.199139000000002,27.050056000000001,2015,Rainfall,Active,Debris,Slopewash
WB/DAR/78A04/2015/1239,,Darjeeling,88.194528000000005,27.051306000000000,2016,Rainfall,Active,Debris,Compacted debris
WB/DARJ/78A04/0261,,Darjeeling,88.200999999999993,27.071000000000002,0,Earthquake,,Debris,Deep and long crack on road and subsidence along crack
WB/DAR/78A04/2015/25,Darjeeling-Bijanbari Road_Pul bazar,Darjeeling,88.200800000000001,27.071300000000001,2011,Rainfall,Active,Debris,Compacted debris
WB/DAR/78A04/2015/1196,,Darjeeling,88.208832999999998,27.080082999999998,2015,Rainfall,Reactivated,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1185,,Darjeeling,88.231860999999995,27.098583000000001,2014,Rainfall,Dormant,Rock,Mica schist
