zone_id,time_window,slope_angle,elevation,aspect,curvature,twi,spi,rainfall_24h_mm,rainfall_7d_mm,rainfall_30d_mm,soil_moisture,ndvi,lulc,lithology,distance_to_road,distance_to_river,lineament_density,drain_density,previous_landslide,event,evidence_quality
T0125,clim-JJAS,17.4,1267.5,167.0,0.0016,6.42,60.1,82.6,284.9,557.4,0.271,0.825,FOREST,lingtse_granite_gneiss,377.3,1426.8,0.8,1.538,1,1,approximate
T0130,clim-JJAS,38.7,395.4,0.0,-0.0098,4.92,88.2,106.5,339.1,599.0,0.271,0.24,FOREST,lingtse_granite_gneiss,57.7,445.7,0.8,1.949,0,1,approximate
T0138,clim-JJAS,12.0,383.5,142.0,0.0029,7.59,55.0,165.4,478.0,740.7,0.271,0.702,FOREST,lingtse_granite_gneiss,266.8,746.7,0.8,2.154,1,1,approximate
T0295,clim-JJAS,34.3,1590.6,232.0,0.0026,5.49,112.7,106.5,339.1,599.0,0.271,0.807,FOREST,lingtse_granite_gneiss,369.8,2372.2,0.8,0.0,0,1,approximate
T0633,clim-JJAS,25.7,1578.7,113.0,0.0082,5.43,52.9,57.8,203.6,439.5,0.271,0.83,FOREST,lingtse_granite_gneiss,377.1,1886.1,0.8,0.0,0,1,approximate
T0641,clim-JJAS,32.9,873.3,108.0,-0.0016,4.85,53.2,57.8,203.6,439.5,0.271,0.779,FOREST,lingtse_granite_gneiss,434.0,1011.8,0.8,0.0,0,1,approximate
T0956,2007-JJAS,28.2,1072.6,103.0,-0.018,3.94,14.7,106.5,339.1,599.0,0.304,0.838,FOREST,lingtse_granite_gneiss,196.3,921.9,0.8,0.0,0,1,approximate
T1022,clim-JJAS,23.6,423.9,299.0,-0.0013,5.24,36.0,106.5,339.1,599.0,0.304,0.828,FOREST,lingtse_granite_gneiss,613.1,1599.1,0.8,0.0,1,1,approximate
T1129,clim-JJAS,14.6,418.8,305.0,-0.0005,5.76,21.6,106.5,339.1,599.0,0.304,0.806,FOREST,lingtse_granite_gneiss,178.1,1210.0,0.8,1.744,1,1,approximate
T1256,2016-JJAS,35.5,690.5,158.0,0.0079,5.04,78.5,79.1,221.9,409.2,0.297,0.73,FOREST,lingtse_granite_gneiss,174.5,1234.1,0.8,0.0,1,1,approximate
T1734,clim-JJAS,28.1,4328.4,358.0,0.0101,6.14,131.7,63.9,229.7,484.0,0.283,0.717,FOREST,lingtse_granite_gneiss,1508.7,2440.9,0.8,0.0,0,0,background
T2009,clim-JJAS,28.1,1357.9,288.0,-0.0034,3.94,14.7,106.5,339.1,599.0,0.297,0.802,FOREST,lingtse_granite_gneiss,23.8,372.9,0.8,0.0,0,0,background
T2057,clim-JJAS,38.3,3585.0,140.0,0.0151,4.65,65.0,57.8,203.6,439.5,0.264,0.697,FOREST,lingtse_granite_gneiss,5676.8,2519.4,0.8,0.0,0,0,background
T2125,clim-JJAS,11.9,4714.8,127.0,-0.0132,6.66,34.6,57.8,203.6,439.5,0.228,0.21,BARREN,lingtse_granite_gneiss,10678.7,6901.0,0.8,0.0,0,0,background
T2198,clim-JJAS,23.3,1990.5,76.0,0.0085,9.44,2348.8,106.5,339.1,599.0,0.271,0.822,FOREST,lingtse_granite_gneiss,259.5,2471.6,0.8,0.0,0,0,background
T2268,clim-JJAS,36.0,4073.8,9.0,0.0002,5.83,179.0,63.9,229.7,484.0,0.283,0.821,FOREST,lingtse_granite_gneiss,1420.6,899.9,0.8,0.0,0,0,background
T2411,clim-JJAS,2.1,5051.2,331.0,0.0008,6.59,1.0,59.5,203.9,434.0,0.245,0.194,FOREST,lingtse_granite_gneiss,1341.3,3351.6,0.8,1.538,0,0,background
T2612,clim-JJAS,5.1,6020.7,24.0,0.0037,8.56,41.5,63.4,203.2,428.0,0.0,0.7304999999999999,WATER,lingtse_granite_gneiss,10426.0,5865.4,0.8,0.41,0,0,background
T2674,clim-JJAS,31.6,1459.4,27.0,-0.0185,3.8,16.9,165.4,478.0,740.7,0.304,0.822,FOREST,lingtse_granite_gneiss,596.1,2349.3,0.8,0.0,0,0,background
T2823,clim-JJAS,20.8,3868.5,311.0,0.0019,6.07,62.5,82.6,284.9,557.4,0.303,0.565,FOREST,lingtse_granite_gneiss,481.0,634.2,0.8,0.0,0,0,background
