SLIDE_NO,SLIDE_NAME,DISTRICT,LONGITUDE,LATITUDE,INITIATION,TRIGGERING,ACTIVITY,MATERIAL_T,GEOLOGY
SKM/NS/78A10/2017/203,,North Sikkim,88.712028000000004,27.637167000000002,0,Rainfall,Active,Debris,
SKM/NS/78A10/2017/204,,North Sikkim,88.711693999999994,27.638694000000001,0,Rainfall,Active,Debris,
SKM/NS/78A10/2017/205,,North Sikkim,88.733417000000003,27.675778000000001,0,Rainfall,Active,Debris,
SKM/NS/78A10/2017/206,,North Sikkim,88.738749999999996,27.686388999999998,0,Rainfall,Dormant,Debris,
SKM/NS/78A10/2017/201,,North Sikkim,88.692778000000004,27.629500000000000,0,Rainfall,Active,Debris,
SKM/NS/78A10/2017/202,,North Sikkim,88.695194000000001,27.629360999999999,0,Rainfall,Dormant,Debris,
SKM/NS/78A10/2017/200,,North Sikkim,88.685305999999997,27.628083000000000,0,Rainfall,Dormant,Debris,
SKM/NS/78A10/2017/199,,North Sikkim,88.656527999999994,27.613444000000001,0,Rainfall,Active,Debris,
SKM/NS/78A10/2017/198,,North Sikkim,88.655221999999995,27.611332999999998,0,Rainfall,Active,Debris,
SKM/NS/78A10/2017/197,Chungthang,North Sikkim,88.652028000000001,27.609055999999999,0,Rainfall,Suspended,Debris,
