event,episode,date,snapshots,leakage,issues
NEWS-17MILE-20220615,EP-JUN2022-SIKKIM,2022-06-15,6,0,[]
NEWS-20MILE-20220901,EP-SEP2022-SIKKIM,2022-09-01,6,0,[]
NEWS-29MILE-20200923,EP-SEP2020-NE,2020-09-23,6,0,[]
NEWS-29MILE-20210711,EP-JUL2021-NE,2021-07-11,6,0,[]
NEWS-29MILE-20210906,EP-SEP2021-NE,2021-09-06,6,0,[]
NEWS-APDARA-20200627,EP-JUN2020-NSIKKIM,2020-06-27,6,0,[]
NEWS-BIRIKDARA-20220802,EP-AUG2022-SIKKIM,2022-08-02,6,0,[]
NEWS-DARJ-20150701,EP-JUL2015-DARJ,2015-07-01,6,0,[]
NEWS-DIPUDARA-20240820,EP-AUG2024-EASTSIKKIM,2024-08-20,6,0,[]
NEWS-DIPUDARA-20240821,EP-AUG2024-EASTSIKKIM,2024-08-21,6,0,[]
NEWS-LINGCHOM-20200524,EP-MAY2020-NSIKKIM,2020-05-24,6,0,[]
NEWS-MANGAN-20240613,EP-JUN2024-SIKKIM,2024-06-13,6,0,[]
NEWS-MANGANCHUNG-20200627,EP-JUN2020-NSIKKIM,2020-06-27,6,0,[]
NEWS-MANTAM-20160813,EP-AUG2016-MANTAM,2016-08-13,6,0,[]
NEWS-NH10-20150709,EP-JUL2015-DARJ,2015-07-09,6,0,[]
NEWS-NH10-20211020,EP-OCT2021-NE,2021-10-20,6,0,[]
NEWS-NH10-20221009,EP-OCT2022-NE,2022-10-09,6,0,['flat-cell-note']
NEWS-PATHING-20221124,EP-NOV2022-PATHING,2022-11-24,6,0,[]
NEWS-PUBUNG-20190708,EP-JUL2019-DARJ,2019-07-08,6,0,[]
NEWS-RONGEY-20220628,EP-JUN2022-SIKKIM,2022-06-28,6,0,[]
NEWS-SOKPAY-20230326,EP-MAR2023-SOKPAY,2023-03-26,6,0,[]
NEWS-TSONG-20190916,EP-SEP2019-YUKSAM,2019-09-16,6,0,['flat-cell-note']
NEWS-YUMTHANG-20220831,EP-SEP2022-SIKKIM,2022-08-31,6,0,[]
